A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
20322051544,1979,8.8017226E7,ABC,45,2000-01-01
28392898392,1974,8.8392926E7,23,2050-11-27
A,B,C,D,E
A,B,C,D,E
A,B,C,D,E
A
A,B,C,D,E
